stationReference,value,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
1155,0.6,Rainfall station,52.417004,-1.12584,,,,
1165,0.6,Rainfall station,52.205609,-1.605581,,,,
1201,0.0,Rainfall station,52.343809,-1.955178,,,,
1201TH,2.438,Eynsham Lock,51.774692,-1.356854,1.187,-0.363,0.37,0.038
1208TH,0.505,Moreton,51.988876,-1.697906,1.461,0.087,1.21,0.095
1210TH,1.707,Evenlode Bridge,51.95095,-1.679842,2.8,0.373,1.6800000000000002,0.405
1236TH,0.173,Littlestock Brook (Temporary),51.865237,-1.618104,0.524,0.079,0.2,0.079
1238TH,1.548,Shipton,51.861678,-1.594363,3.23,0.517,2.02,0.5630000000000001
1285SO,,Black Bull Road,51.085655,1.177662,0.767,0.076,1.206,0.082
1289TH,0.719,Woodstock,51.864215,-1.356609,1.122,0.031,0.75,0.05
1290_w1TH,0.401,Cassington Weir A,51.786053,-1.351198,1.091,0.026,0.9,0.085
1290_w2TH,0.478,Cassington Weir B,51.786053,-1.351198,1.292,0.088,0.77,0.144
1301TH,2.22,Kings Lock,51.789307,-1.306931,0.977,-0.811,0.3,0.0
1302TH,2.35,Godstow Lock,51.776669,-1.298428,0.52,-0.477,0.225,0.05
1303TH,-0.042,Osney Lock,51.74909,-1.272781,0.341,-0.312,0.12,-0.15
1331,0.0,Rainfall station,52.596394,-2.471631,,,,
1332,0.0,Rainfall station,52.589321,-2.78744,,,,
1335,0.0,Rainfall station,52.863499,-3.123644,,,,
1339,0.0,Rainfall station,52.718219,-2.570654,,,,
1387,0.0,Rainfall station,52.424304,-3.172736,,,,
1408TH,1.207,Woodford Halse,52.167771,-1.212815,2.914,0.834,2.0,0.848
1409,0.0,Rainfall station,52.59735,-3.029712,,,,
1412,0.0,Rainfall station,52.47914,-2.975413,,,,
1413,0.0,Rainfall station,52.325619,-2.226643,,,,
1414TH,1.717, Huscote FAS,52.08027,-1.319158,,,,
1415TH,2.049,Hardwick FAS,52.081936,-1.321103,,,,
1416TH,1.761,Cropredy Bridge,52.114915,-1.315184,2.732,0.867,2.192,1.044
1420TH,0.808,Banbury,52.066379,-1.333286,2.392,0.003,1.14,0.02
1431TH,0.76,Bloxham,52.017279,-1.380792,2.23,0.597,1.11,0.636
1437TH,0.367,Bodicote,52.028582,-1.326852,1.3,0.041,0.58,0.058
